,0
543,2.054377555847168
544,2.0521934032440186
545,2.0517640113830566
546,2.0513341426849365
547,2.0509049892425537
548,2.0504820346832275
549,2.050063371658325
550,2.0496420860290527
551,2.0492141246795654
552,2.0487892627716064
553,2.0483574867248535
554,2.0479366779327393
555,2.047513246536255
556,2.047093629837036
557,2.046675443649292
558,2.0462496280670166
559,2.0458290576934814
560,2.0454025268554688
561,2.044987916946411
562,2.0445690155029297
563,2.0441508293151855
564,2.0437333583831787
565,2.0433168411254883
566,2.042900323867798
567,2.042484998703003
568,2.04206919670105
569,2.039914608001709
570,2.0394957065582275
571,2.039076089859009
572,2.0386617183685303
573,2.0382564067840576
574,2.036095380783081
575,2.035679340362549
576,2.033482789993286
577,2.033062219619751
578,2.0326414108276367
579,2.032217502593994
580,2.0317914485931396
581,2.0313570499420166
582,2.030912399291992
583,2.030470371246338
584,2.030031681060791
585,2.0278160572052
586,2.027400255203247
587,2.0269832611083984
588,2.026573419570923
589,2.0261614322662354
590,2.024528980255127
591,2.024101734161377
592,2.023681402206421
593,2.0232656002044678
594,2.0228562355041504
595,2.022437810897827
596,2.0220253467559814
597,2.021611452102661
598,2.0211915969848633
599,2.0189898014068604
600,2.0185697078704834
601,2.018162250518799
602,2.01595139503479
603,2.0155482292175293
604,2.015132427215576
605,2.0128843784332275
606,2.012465238571167
607,2.010206460952759
608,2.0097920894622803
609,2.009385585784912
610,2.0089752674102783
611,2.0085582733154297
612,2.0081348419189453
613,2.0077199935913086
614,2.0073108673095703
615,2.0069029331207275
616,2.0064942836761475
617,2.006077289581299
618,2.005662202835083
619,2.0052473545074463
620,2.0048305988311768
621,2.0044095516204834
622,2.003981590270996
623,2.0035529136657715
624,2.0031251907348633
625,2.0027081966400146
626,2.0022878646850586
627,2.001878499984741
628,2.001461982727051
629,2.0010478496551514
630,2.0006320476531982
631,2.0002264976501465
632,1.9998286962509155
633,1.9994250535964966
634,1.9990266561508179
635,1.9986214637756348
636,1.9982075691223145
637,1.9978034496307373
638,1.9974032640457153
639,1.9970076084136963
